Kg malta;Silo;Bultos Malta caramelo;Kg malta caramelo;Lote malta caramelo;Color malta caramelo [EBC];Color cocimiento;Color ponderado silo
17478;Silo 344907;13;325;292024;131;13,73;3,75
17479;Silo 344907;13;325;292024;131;14,13;3,75
17498;Silo 344907;13;325;292024;131;13,75;3,75
17514;Silo 344907;17;425;292024;131;15,20;3,75
17268;Silo 444915;14;350;292024;131;14,98;4,00
17459;Silo 444915;14;350;292024;131;14,20;4,00
17437;Silo 444915;14;350;292024;131;15,60;4,00
17735;Silo 444915;10;250;292024;131;13,18;4,00
17528;Silo 144921;16;400;292024;131;14,88;4,00
17457;Silo 144921;15;375;292024;131;14,70;4,00
17569;Silo 144921;15;375;292024;131;14,38;4,00
17530;Silo 144921;17;425;292024;131;14,43;4,00
17280;Silo 144921;16;400;292024;131;14,13;4,00
17588;Silo 244947;15;375;292024;131;17,78;3,92
17564;Silo 244947;15;375;292024;131;14,98;3,92
17506;Silo 244947;16;400;292024;131;16,10;3,92
17665;Silo 244947;8;200;292024;131;13,35;3,92
17492;Silo 244947;11;275;292949;145;15,03;3,92
17538;Silo 244947;11;275;292949;145;14,70;3,92
17542;Silo 244947;11;275;292949;145;14,70;3,92
17817;Silo 244947;11;275;292949;145;12,90;3,92
17377;Silo 144972;15;375;292949;145;13,63;3,90
17428;Silo 144972;15;375;292949;145;13,20;3,90
17446;Silo 144972;19;475;292949;145;13,95;3,90
17800;Silo 145009;8;200;290660;146;11,78;4,10
17479;Silo 145009;8;200;290660;146;11,88;4,10
17873;Silo 145009;5;125;290660;146;10,80;4,10
17879;Silo 145009;20;500;290660;146;15,88;4,10
17986;Silo 145009;11;275;290660;146;13,70;4,10
17450;Silo 145009;11;275;290660;146;13,13;4,10
17892;Silo 145009;23;575;290660;146;15,68;4,10
17190;Silo 145009;26;650;290660;146;17,65;4,10
17166;Silo 445031;18;450;293536;138;14,05;4,09
17200;Silo 445031;18;450;293536;138;14,15;4,09
17676;Silo 445031;18;450;293536;138;14,03;4,09
17217;Silo 445031;18;450;293536;138;14,45;4,09
17608;Silo 445031;18;450;293536;138;14,51;4,09
17559;Silo 445031;18;450;293536;138;14,50;4,09
17376;Silo 445031;18;450;293536;138;14,55;4,09
17375;Silo 245052;18;450;293536;138;16,90;3,81
17370;Silo 245052;18;450;293536;138;16,78;3,81
17803;Silo 245052;18;450;293536;138;17,05;3,81
18205;Silo 245052;1;25;293536;138;11,20;3,81
17671;Silo 345064;13;325;293536;138;13,80;4,17
18020;Silo 345064;13;325;293536;138;14,05;4,17
17996;Silo 345064;10;250;293536;138;14,00;4,17
17950;Silo 345064;12;300;293536;138;13,83;4,17
17800;Silo 145078;10;250;293536;138;12,75;3,55
17857;Silo 145078;10;250;293536;138;13,70;3,55
17907;Silo 145078;12;300;293536;138;14,50;3,55
17708;Silo 145078;16;400;293536;138;14,55;3,55
17533;Silo 145078;13;325;293536;138;13,45;3,55
17450;Silo 145078;14;350;293536;138;14,28;3,55
17510;Silo 145078;14;350;293536;138;13,95;3,55
17884;Silo 145078;15;375;293948;145;13,73;3,55
17998;silo 245084;15;375;293948;145;14,25;3,66
17888;silo 245084;15;375;293948;145;14,08;3,66
17734;silo 245084;17;425;293948;145;14,75;3,66
17830;silo 245084;12;300;293948;145;13,73;3,66
17808;silo 345091;15;375;293948;145;15,70;3,62
17822;silo 345091;15;375;293948;145;15,63;3,62
17825;silo 345091;15;375;293948;145;15,45;3,62
18069;silo 345091;8;200;293948;145;13,23;3,62
18269;Silo 145104;6;150;293948;145;13,45;4,37
17901;Silo 145104;10;250;293948;145;14,88;4,37
18012;Silo 145104;8;200;293948;145;14,65;4,37
18054;Silo 145104;6;150;293948;145;13,75;4,37
17727;Silo 145104;8;200;293948;145;14,93;4,37
17945;Silo 145104;8;200;293948;145;14,98;4,37
17975;Silo 145104;7;175;293948;145;14,90;4,37
18024;Silo 145104;6;150;293948;145;14,85;4,37
18037;Silo 345118;8;200;293948;145;12,63;4,13
17928;Silo 345118;8;200;293948;145;13,68;4,13
17965;Silo 345118;7;175;293948;145;14,08;4,13
18190;Silo 345118;17;425;293948;145;16,95;4,13
17682;Silo 345118;10;250;293948;145;11,50;4,13
17930;Silo 345118;10;250;293948;145;13,23;4,13
18750;Silo 345118;10;250;293948;145;13,45;4,13
